Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring awi (DYNAMIC TP/SL v2 - 5s interval)...
  Entry: $0.00045020
  Initial SL: $0.00044120
  Initial TP1: $0.00046821
  Initial TP2: $0.00047721
  Max Hold: 15 min (0.3 hours)
  Trailing: ENABLED (activates at +5%)
11:37:37 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:43 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:48 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:53 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:58 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:03 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:08 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:13 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:18 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:24 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:29 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:34 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:39 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:44 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:49 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:38:54 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:39:00 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:39:05 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:39:10 PM | awi: $0.00043990 | PnL: -2.29% | Momentum: neutral | SL: $0.000441
🛑 SL HIT (Initial) - Executing sell...
  🔄 Executing sell (95%)...
💾 Position marked as exited: STOP_LOSS
📊 Strategy Tracker: Fib 0.786 Deep | LOSS | Streak: 2

11:38:13 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:38:18 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:38:23 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:38:29 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:38:34 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:38:39 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:38:44 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:38:49 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:38:54 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:38:59 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:39:05 PM | awi: $0.00044900 | PnL: -0.38% | Momentum: neutral | SL: $0.000442
11:39:10 PM | awi: $0.00043990 | PnL: -2.40% | Momentum: neutral | SL: $0.000442
🛑 SL HIT (Initial) - Executing sell...
  🔄 Executing sell (95%)...
💾 Position marked as exited: STOP_LOSS
📊 Strategy Tracker: Fib 0.786 Deep | LOSS | Streak: 1
