Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring COPE (DYNAMIC TP/SL)...
  SL: $0.00177195
  TP1: $0.00193636 (50% exit)
  TP2: $0.00200409 (final exit)
  Max Hold: 180 min
12:51:29 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:51:34 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:51:39 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:51:44 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:51:49 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:51:54 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:51:59 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:52:05 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:52:10 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:52:15 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:52:20 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:52:25 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:52:30 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:52:35 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:52:40 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:52:46 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:52:51 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:52:56 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:53:01 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:53:06 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 112m left
12:53:11 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:53:16 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:53:21 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:53:26 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:53:31 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:53:37 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:53:42 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:53:47 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:53:52 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:53:57 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:54:02 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:54:07 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 111m left
12:54:12 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:54:18 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:54:23 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:54:28 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:54:33 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:54:38 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:54:43 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:54:48 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:54:54 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:54:59 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:55:04 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:55:09 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 110m left
12:55:14 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 109m left
12:55:20 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 109m left
12:55:25 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 109m left
12:55:30 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 109m left
12:55:35 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 109m left
12:55:40 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 109m left
12:55:45 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 109m left
12:55:50 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 109m left
12:55:55 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 109m left
12:56:01 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 109m left
12:56:06 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 109m left
12:56:11 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:56:16 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:56:21 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:56:26 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:56:31 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:56:37 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:56:42 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:56:47 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:56:52 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:56:58 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:57:03 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:57:08 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 108m left
12:57:13 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:57:18 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:57:23 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:57:28 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:57:33 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:57:38 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:57:44 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:57:49 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:57:54 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:57:59 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:58:04 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:58:09 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 107m left
12:58:14 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:58:20 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:58:25 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:58:30 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:58:35 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:58:40 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:58:45 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:58:51 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:58:56 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:59:01 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:59:06 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 106m left
12:59:11 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
12:59:16 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
12:59:21 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
12:59:27 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
12:59:32 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
12:59:37 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
12:59:42 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
12:59:47 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
12:59:52 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
12:59:57 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
1:00:03 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
1:00:08 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 105m left
1:00:13 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
1:00:18 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
1:00:23 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
1:00:28 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
1:00:33 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
1:00:38 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
